[Sun Feb 22 15:36:28.061 2009] 0.036 sec [ext/0/rel 0 (0,25)] [main] sasa
[Sun Feb 22 15:36:35.209 2009] 0.000 sec [ext/0/rel 1 (0,25)] [main] kurski
[Sun Feb 22 15:36:56.327 2009] 0.000 sec [ext/0/rel 1 (0,25)] [main] jacek
[Sun Feb 22 15:37:25.745 2009] 0.000 sec [ext/0/rel 2 (0,25)] [main] niegowa
[Sun Feb 22 15:37:42.460 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Sun Feb 22 15:38:57.257 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Sun Feb 22 15:59:37.922 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Sun Feb 22 16:02:02.303 2009] 0.000 sec [ext/0/rel 0 (0,25)] [main] kolosy
[Sun Feb 22 16:02:09.430 2009] 0.000 sec [ext/0/rel 1 (0,25)] [main] kolos
[Sun Feb 22 16:02:22.513 2009] 0.000 sec [ext/0/rel 1 (0,25)] [main] kolo-sy
[Sun Feb 22 16:03:35.148 2009] 0.000 sec [ext/0/rel 1 (0,25)] [main] krisbut
[Sun Feb 22 16:06:04.407 2009] 0.000 sec [ext/0/rel 1 (0,25)] [main] krisbut
[Sun Feb 22 16:06:49.330 2009] 0.000 sec [ext/0/rel 1 (0,25)] [main] krisbut
[Sun Feb 22 16:07:58.538 2009] 0.000 sec [ext/0/rel 1 (0,25)] [main] krisbut
[Sun Feb 22 16:11:25.247 2009] 0.000 sec [ext/0/rel 1 (0,25)] [main] krisbut
[Sun Feb 22 16:13:16.236 2009] 0.000 sec [ext/0/rel 1 (0,25)] [main] krisbut
[Sun Feb 22 16:14:51.887 2009] 0.000 sec [ext/0/rel 1 (0,25)] [main] krisbut
[Sun Feb 22 16:15:01.622 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Sun Feb 22 16:15:18.552 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Sun Feb 22 16:15:23.466 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Sun Feb 22 16:18:30.245 2009] 0.000 sec [ext/0/rel 1 (0,25)] [main] krisbut
[Sun Feb 22 16:18:54.370 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Sun Feb 22 16:19:39.445 2009] 0.000 sec [ext/0/rel 0 (0,25)] [main] *
[Sun Feb 22 16:19:47.874 2009] 0.000 sec [ext/0/rel 1 (0,25)] [main] kurski
[Sun Feb 22 16:27:03.228 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Sun Feb 22 16:27:25.110 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Sun Feb 22 16:27:25.314 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Sun Feb 22 16:30:16.728 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Sun Feb 22 16:33:15.564 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Sun Feb 22 16:38:24.400 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Sun Feb 22 16:42:24.714 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Sun Feb 22 16:42:56.924 2009] 0.000 sec [ext/0/rel 1 (0,25)] [main] kolos
[Sun Feb 22 16:45:01.469 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Sun Feb 22 16:47:52.675 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Sun Feb 22 16:49:27.957 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Sun Feb 22 16:54:12.832 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Sun Feb 22 16:55:07.125 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Sun Feb 22 17:00:41.868 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Sun Feb 22 17:03:17.031 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Sun Feb 22 17:05:56.425 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Sun Feb 22 17:13:11.602 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Sun Feb 22 17:22:30.291 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Sun Feb 22 17:22:56.257 2009] 0.000 sec [ext/0/rel 1 (0,25)] [main] serca
[Sun Feb 22 17:50:14.844 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Sun Feb 22 17:50:43.736 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Sun Feb 22 18:09:44.507 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Sun Feb 22 18:48:31.623 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Sun Feb 22 21:33:10.538 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Sun Feb 22 21:33:40.044 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Sun Feb 22 21:33:48.778 2009] 0.000 sec [ext/0/rel 1 (0,25)] [main] kurski
[Sun Feb 22 21:33:57.723 2009] 0.006 sec [ext/0/rel 1 (0,25)] [main] jacek
[Sun Feb 22 21:34:07.906 2009] 0.000 sec [ext/0/rel 0 (0,25)] [main] myszów
[Sun Feb 22 21:34:14.426 2009] 0.000 sec [ext/0/rel 11 (0,25)] [main] myszków
[Sun Feb 22 22:20:17.657 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Sun Feb 22 22:22:09.983 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Sun Feb 22 22:27:02.940 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Sun Feb 22 22:30:23.833 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Sun Feb 22 22:30:42.936 2009] 0.000 sec [ext/0/rel 2 (0,25)] [main] żarki
[Sun Feb 22 22:30:48.937 2009] 0.000 sec [ext/0/rel 4 (0,25)] [main] mfne
[Mon Feb 23 00:16:57.045 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Mon Feb 23 00:44:00.704 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Mon Feb 23 09:55:05.590 2009] 0.070 sec [scan/0/rel 17 (0,25)] [main] 
[Mon Feb 23 10:38:59.350 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Mon Feb 23 10:40:18.447 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Mon Feb 23 10:41:18.545 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Mon Feb 23 11:51:15.460 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Mon Feb 23 13:08:19.884 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Mon Feb 23 13:11:40.741 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Mon Feb 23 14:31:33.570 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Mon Feb 23 15:12:36.698 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Mon Feb 23 15:25:43.453 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Mon Feb 23 18:55:24.193 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Mon Feb 23 19:42:08.894 2009] 0.041 sec [ext/0/rel 1 (0,25)] [main] ogłoszenia
[Mon Feb 23 20:45:29.959 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Mon Feb 23 20:58:04.726 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Mon Feb 23 22:53:39.956 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Tue Feb 24 00:30:54.334 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Tue Feb 24 00:31:00.135 2009] 0.020 sec [ext/0/rel 1 (0,25)] [main] alleluja
[Tue Feb 24 09:51:21.395 2009] 0.094 sec [scan/0/rel 17 (0,25)] [main] 
[Tue Feb 24 09:58:06.510 2009] 0.038 sec [ext/0/rel 9 (0,25)] [main] będzie
[Tue Feb 24 09:58:22.211 2009] 0.023 sec [ext/0/rel 1 (0,25)] [main] dworzec
[Tue Feb 24 10:10:21.849 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Tue Feb 24 10:10:26.161 2009] 0.000 sec [ext/0/rel 0 (0,25)] [main] bedzie
[Tue Feb 24 10:10:32.819 2009] 0.032 sec [ext/0/rel 1 (0,25)] [main] jacek
[Tue Feb 24 10:17:56.998 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Tue Feb 24 10:18:00.401 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Tue Feb 24 10:45:22.516 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Tue Feb 24 10:45:45.268 2009] 0.000 sec [ext/0/rel 0 (0,25)] [main] dam pracę
[Tue Feb 24 10:45:56.686 2009] 0.126 sec [ext/0/rel 1 (0,25)] [main] ogłoszenia
[Tue Feb 24 10:47:26.908 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Tue Feb 24 10:54:30.779 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Tue Feb 24 13:23:53.961 2009] 0.396 sec [ext/0/rel 0 (0,25)] [main] sportowiec roku 2009
[Tue Feb 24 13:24:06.593 2009] 0.000 sec [ext/0/rel 0 (0,25)] [main] tribag
[Tue Feb 24 14:21:09.379 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Tue Feb 24 16:27:17.126 2009] 0.000 sec [ext/0/rel 0 (0,25)] [main] telefon
[Tue Feb 24 20:11:12.603 2009] 0.000 sec [ext/0/rel 0 (0,25)] [main] studniówka
[Tue Feb 24 20:17:27.168 2009] 0.000 sec [ext/0/rel 1 (0,25)] [main] basen
[Tue Feb 24 20:57:37.872 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Tue Feb 24 20:57:44.593 2009] 0.000 sec [ext/0/rel 1 (0,25)] [main] krisbut
[Tue Feb 24 22:14:04.372 2009] 0.020 sec [ext/0/rel 1 (0,25)] [main] rafał zawadzki
[Wed Feb 25 09:34:16.433 2009] 0.065 sec [ext/0/rel 0 (0,25)] [main] bank spółdzielczy w myszkowie
[Wed Feb 25 09:35:26.446 2009] 0.000 sec [ext/0/rel 0 (0,25)] [main] bank spółdzielczy w myszkowie
[Wed Feb 25 11:09:59.828 2009] 0.000 sec [ext/0/rel 0 (0,25)] [main] kontakt
[Wed Feb 25 13:24:14.581 2009] 0.036 sec [ext/0/rel 2 (0,25)] [main] praca
[Wed Feb 25 14:14:06.545 2009] 0.000 sec [ext/0/rel 0 (0,25)] [main] skkgm
[Wed Feb 25 14:14:13.900 2009] 0.000 sec [ext/0/rel 0 (0,25)] [main] molybden
[Wed Feb 25 14:14:17.134 2009] 0.000 sec [ext/0/rel 0 (0,25)] [main] molibden
[Wed Feb 25 14:14:24.815 2009] 0.000 sec [ext/0/rel 0 (0,25)] [main] kopalnia
[Wed Feb 25 14:14:39.910 2009] 0.000 sec [ext/0/rel 0 (0,25)] [main] statystyki
[Wed Feb 25 14:14:46.342 2009] 0.000 sec [ext/0/rel 0 (0,25)] [main] demografia
[Wed Feb 25 14:14:50.147 2009] 0.000 sec [ext/0/rel 0 (0,25)] [main] doda
[Wed Feb 25 14:14:52.910 2009] 0.000 sec [ext/0/rel 0 (0,25)] [main] demografia
[Wed Feb 25 14:14:55.166 2009] 0.000 sec [ext/0/rel 0 (0,25)] [main] statystyki
[Wed Feb 25 14:14:56.738 2009] 0.000 sec [ext/0/rel 0 (0,25)] [main] kopalnia
[Wed Feb 25 14:14:57.180 2009] 0.000 sec [ext/0/rel 0 (0,25)] [main] molibden
[Wed Feb 25 14:14:57.560 2009] 0.000 sec [ext/0/rel 0 (0,25)] [main] molybden
[Wed Feb 25 14:14:58.952 2009] 0.000 sec [ext/0/rel 0 (0,25)] [main] skkgm
[Wed Feb 25 14:34:37.608 2009] 0.000 sec [scan/0/rel 17 (0,25)] [main] 
[Wed Feb 25 15:23:27.336 2009] 0.056 sec [ext/0/rel 1 (0,25)] [main] orlik
[Wed Feb 25 19:08:52.565 2009] 0.051 sec [ext/0/rel 0 (0,25)] [main] praca za kierowce region myszkowa
[Wed Feb 25 19:09:09.660 2009] 0.000 sec [ext/0/rel 0 (0,25)] [main] praca za kierowce c+e slask
[Wed Feb 25 19:09:24.261 2009] 0.000 sec [ext/0/rel 2 (0,25)] [main] praca
[Wed Feb 25 20:03:42.671 2009] 0.000 sec [ext/0/rel 1 (0,25)] [main] WOŚP
